日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值,成交笔数
2016-01-08,'000007,零七股份,0.0,0.0,0.0,0.0,23.79,None,None,0.0,0,0.0,5494665985.77,4899915985.77,0
2016-01-07,'000007,零七股份,0.0,0.0,0.0,0.0,23.79,None,None,0.0,0,0.0,5494665985.77,4899915985.77,0
2016-01-06,'000007,零七股份,0.0,0.0,0.0,0.0,23.79,None,None,0.0,0,0.0,5494665985.77,4899915985.77,0
2016-01-05,'000007,零七股份,0.0,0.0,0.0,0.0,23.79,None,None,0.0,0,0.0,5494665985.77,4899915985.77,0
2016-01-04,'000007,零七股份,0.0,0.0,0.0,0.0,23.79,None,None,0.0,0,0.0,5494665985.77,4899915985.77,0
2015-12-31,'000007,零七股份,0.0,0.0,0.0,0.0,23.79,None,None,0.0,0,0.0,5494665985.77,4899915985.77,0
2015-12-30,'000007,零七股份,0.0,0.0,0.0,0.0,23.79,None,None,0.0,0,0.0,5494665985.77,4899915985.77,0
2015-12-29,'000007,零七股份,0.0,0.0,0.0,0.0,23.79,None,None,0.0,0,0.0,5494665985.77,4899915985.77,0
2015-12-28,'000007,零七股份,0.0,0.0,0.0,0.0,23.79,None,None,0.0,0,0.0,5494665985.77,4899915985.77,0
2015-12-25,'000007,零七股份,0.0,0.0,0.0,0.0,23.79,None,None,0.0,0,0.0,5494665985.77,4899915985.77,0
2015-12-24,'000007,零七股份,0.0,0.0,0.0,0.0,23.79,None,None,0.0,0,0.0,5494665985.77,4899915985.77,0
2015-12-23,'000007,零七股份,23.79,24.66,22.25,22.35,22.45,1.34,5.9688,7.9876,16451670,386432441.31,5494665985.77,4899915985.77,14931
2015-12-22,'000007,零七股份,22.45,22.84,22.05,22.61,22.41,0.04,0.1785,3.502,7212925,161669094.75,5185172399.35,4623922399.35,6651
2015-12-21,'000007,零七股份,22.41,22.87,22.02,22.24,22.24,0.17,0.7644,4.3829,9027297,202498003.63,5175933784.83,4615683784.83,8512
2015-12-18,'000007,零七股份,22.24,22.58,21.52,21.55,21.7,0.54,2.4885,5.2709,10856157,240899886.95,5136669673.12,4580669673.12,10595
2015-12-17,'000007,零七股份,21.7,21.9,21.36,21.51,21.28,0.42,1.9737,3.8057,7838429,169502380.31,5011948377.1,4469448377.1,7771
2015-12-16,'000007,零七股份,21.28,21.91,21.07,21.9,21.94,-0.66,-3.0082,4.3314,8921143,191212365.26,4914942924.64,4382942924.64,9400
2015-12-15,'000007,零七股份,21.94,22.18,21.71,21.99,21.74,0.2,0.92,2.7665,5697983,125006677.74,5067380064.22,4518880064.22,5982
2015-12-14,'000007,零七股份,21.74,21.76,21.23,21.42,21.66,0.08,0.3693,3.2075,6606250,142381141.22,5021186991.62,4477686991.62,6381
2015-12-11,'000007,零七股份,21.66,21.75,20.55,20.93,20.71,0.95,4.5872,4.1388,8524556,180863705.15,5002709762.58,4461209762.58,9155
2015-12-10,'000007,零七股份,20.71,21.23,20.31,21.2,21.25,-0.54,-2.5412,3.9477,8130886,167960891.62,4783292667.73,4265542667.73,9228
2015-12-09,'000007,零七股份,21.25,22.38,21.21,21.5,21.88,-0.63,-2.8793,5.751,11845145,258125760.52,4908013963.75,4376763963.75,11822
2015-12-08,'000007,零七股份,21.88,22.8,21.51,22.5,23.1,-1.22,-5.2814,8.2858,17065802,377874697.56,5053522142.44,4506522142.44,16927
2015-12-07,'000007,零七股份,23.1,23.1,21.01,21.1,21.0,2.1,10.0,10.6329,21900122,488019708.36,5335299885.3,4757799885.3,22540
2015-12-04,'000007,零七股份,21.0,21.8,20.25,20.4,20.45,0.55,2.6895,7.5214,15491493,326256822.67,4850272623.0,4325272623.0,16905
2015-12-03,'000007,零七股份,20.45,20.61,19.6,19.82,19.55,0.9,4.6036,4.46,9186044,185172116.01,4723241673.35,4211991673.35,11791
2015-12-02,'000007,零七股份,19.55,20.8,19.08,20.63,20.92,-1.37,-6.5488,6.2669,12907678,255502903.82,4515372846.65,4026622846.65,13950
2015-12-01,'000007,零七股份,20.92,22.15,20.71,21.51,21.84,-0.92,-4.2125,6.9265,14266259,305943044.49,4831795393.96,4308795393.96,14502
2015-11-30,'000007,零七股份,21.84,22.22,20.75,21.11,21.3,0.54,2.5352,8.3708,17240863,371849465.04,5044283527.92,4498283527.92,18431
2015-11-27,'000007,零七股份,21.3,22.35,20.46,22.0,22.59,-1.29,-5.7105,10.7993,22242721,482156580.49,4919562231.9,4387062231.9,23920
2015-11-26,'000007,零七股份,22.59,23.49,22.51,23.01,24.19,-1.6,-6.6143,16.5499,34087049,782245212.67,5217507550.17,4652757550.17,37085
2015-11-25,'000007,零七股份,24.19,25.7,22.08,23.33,23.63,0.56,2.3699,30.434,62683563,1458989760.69,5587052130.97,4982302130.97,37514
2015-11-24,'000007,零七股份,23.63,23.63,23.63,23.63,26.25,-2.62,-9.981,0.2583,532000,12571160.0,5457711527.69,4866961527.69,814
2015-11-23,'000007,零七股份,26.25,26.25,26.25,26.25,29.17,-2.92,-10.0103,0.1106,227700,5977125.0,6062840778.75,5406590778.75,369
2015-11-20,'000007,零七股份,0.0,0.0,0.0,0.0,29.17,None,None,0.0,0,0.0,6737259638.71,6008009638.71,0
2015-11-19,'000007,零七股份,0.0,0.0,0.0,0.0,29.17,None,None,0.0,0,0.0,6737259638.71,6008009638.71,0
2015-11-18,'000007,零七股份,0.0,0.0,0.0,0.0,29.17,None,None,0.0,0,0.0,6737259638.71,6008009638.71,0
2015-11-17,'000007,零七股份,0.0,0.0,0.0,0.0,29.17,None,None,0.0,0,0.0,6737259638.71,6008009638.71,0
2015-11-16,'000007,零七股份,0.0,0.0,0.0,0.0,29.17,None,None,0.0,0,0.0,6737259638.71,6008009638.71,0
2015-11-13,'000007,零七股份,0.0,0.0,0.0,0.0,29.17,None,None,0.0,0,0.0,6737259638.71,6008009638.71,0
2015-11-12,'000007,零七股份,0.0,0.0,0.0,0.0,29.17,None,None,0.0,0,0.0,6737259638.71,6008009638.71,0
